model,threshold,precision,recall,f1,pr_auc,roc_auc
Baseline (LogReg),0.9999995043577586,0.8088235294117647,0.7746478873239436,0.7913669064748201,0.6809764721112809,0.9608718020796593
Neural Network,0.969935417175293,0.7272727272727273,0.7887323943661971,0.7567567567567568,0.6599507564420086,0.9502336699542009
